1,"A History Apparatus - Vessel, Craft & Beacon",-37.81304936,144.968211,"147 Russell Street, MELBOURNE",Chris Reynolds,1993,Art,1
2,Adam Lindsay Gordan Memorial,-37.81236353,144.973745,"96 Spring Street, EAST MELBOURNE",Paul Montford,1931,Monument,2
3,Anchor,-37.81823233,144.9474446,"760 Bourke Street, DOCKLANDS",Neil Dawson,2005,Art,7
4,Angel,-37.81895423,144.9729592,Birrarung Marr,Deborah Halpern,1988,Art,4
5,"Another View, Site 1",-37.81129429,144.973169,"152 Spring Street, EAST MELBOURNE",Ray Thomas,1994,Art,2
6,"Another View, Site 17",-37.81480512,144.968381,"154 Collins Street, MELBOURNE",Ray Thomas,1994-1995,Art,1
7,"Another View, Site 8",-37.81941332,144.9601987,"422 Flinders Street, MELBOURNE",Ray Thomas,1994,Art,1
8,Apollo Belvedere,-37.82105934,144.9697574,"90 St Kilda Road, SOUTHBANK",NA,1928,Art,6
9,Aqualung,-37.81884333,144.9450676,"15 Victoria Harbour Promenade, DOCKLANDS",John Mead,2006,Art,7
10,Architectural Fragment,-37.80982756,144.9640461,"324 Swanston Street, MELBOURNE",Petrus Spronk,1992,Art,1
11,Art Wall,-37.81557794,144.9463212,"160 Harbour Esplanade, DOCKLANDS",Peter D. Cole,2000,Art,7
12,Aurora,-37.81869379,144.9468563,"96 Harbour Esplanade, DOCKLANDS",Geoffrey Bartlett,2005,Art,7
13,Australia Today and Tomorrow,-37.81182205,144.982657,"152 Clarendon Street, EAST MELBOURNE",Karl Duldig,1970,Art,2
14,Australian Hellenic War Memorial,-37.82721246,144.9729739,"Kings Domain, Birdwood Ave, MELBOURNE",Evangelos Sakaris; RBA Architects and Conservation Consultants,2001,Monument,4
15,Bali Memorial,-37.80242462,144.9632561,"Lincoln Square, Swanston Street, CARLTON",NA,2003,Fountain,103
16,Bandstand,-37.81405487,144.9673387,"200 Little Collins Street, MELBOURNE",George Dodd,1864,Art,1
17,Beyond the Ocean of Existence,-37.81642366,144.9670615,"44 Swanston Street, MELBOURNE",Loretta Quinn,1993,Art,1
18,Bird Panels,-37.79535268,144.9406873,76 Canning Street,Di Christensen and Bernice McPherson,1995,Art,101
19,Birrarung Wilam,-37.81859228,144.9717964,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",2006,Art,4
20,Black Swan Memorial Drinking Fountain,-37.81957056,144.9718244,"Alexandra Gardens, St Kilda Road, MELBOURNE",Raymond B. Ewers,1974,Monument,4
21,Blowhole,-37.82201822,144.946871,"13 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,Art,7
22,Boy and Pelican,-37.81376754,144.9827718,"84 Clarendon Street, EAST MELBOURNE",William Leslie Bowles,1936,Art,2
23,Boy and Urn Fountain,-37.81212176,144.9797032,"4 Lansdowne Street, EAST MELBOURNE",NA,1900,Fountain,2
24,Boy on a Turtle,-37.81438926,144.9799102,"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",NA,1850,Art,2
25,Burke and Wills Cairn,-37.78892808,144.9560581,"6 The Avenue, PARKVILLE",NA,1890,Monument,102
26,Burke and Wills Monument,-37.81563373,144.966704,"84 Swanston Street, MELBOURNE",Charles Summers,1865,Monument,1
27,Bust of Dr Louis Smith,-37.80474431,144.9724521,"9 Nicholson Street, CARLTON",Edgar Bertram Mackennal,1914,Monument,103
28,Bust of Sir Samuel Gillott,-37.81372575,144.9726155,"37 Collins Street, MELBOURNE",Charles Douglas Richardson,1905,Art,1
29,Captain Cook,-37.81457929,144.9794944,"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Marc Clark,1973,Monument,2
30,Captain Matthew Flinders Statue,-37.81696331,144.9674876,"30 Swanston Street, MELBOURNE",Sculptor Charles Web Gilbert; founder F. Barbedienne,1923,Monument,1
31,Car Nuggets,-37.82173846,144.9491698,"15 Batmans Hill Drive, DOCKLANDS",Patricia Piccinini,2006,Art,7
32,Ceremony and Vehicle for Conveying Spirit,-37.8136958,144.968513,"114 Russell Street, MELBOURNE",Maurie Hughes,1996,Art,1
33,City Living,-37.81147502,144.9531655,"5 Jeffcott Street, WEST MELBOURNE",Andrew Rogers,1995,Art,3
34,Clayton Reserve Drinking Fountain,-37.79566357,144.9389348,"241 Macaulay Road, NORTH MELBOURNE",NA,1935,Fountain,101
35,Coat of Arms,-37.81515829,144.9664959,"98 Swanston Street, MELBOURNE",City of Melbourne,1992,Art,1
36,Coles Fountain,-37.80977062,144.973484,"517 Albert Street, EAST MELBOURNE",Robert Woodward,1981,Fountain,2
37,Commonwealth Games Aquatic Sculptures - Eels,-37.79662906,144.9243068,"Kensington Community Recreation Centre, KENSINGTON",NA,2006,Art,59
38,Conservatory Fountain,-37.81387434,144.9785955,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",NA,1900,Fountain,2
39,Constellation,-37.82027159,144.9605978,"469 Flinders Street, MELBOURNE",Bruce Armstrong and Geoffrey Bartlett,1996,Art,1
40,Continuum,-37.8191897,144.9469984,"17 Waterview Walk, DOCKLANDS",Michael Snape,2005,Art,7
41,Councillor William Cook Memorial Drinking Fountain,-37.78528746,144.9661901,266 Macpherson Street,Charles Douglas Richardson,1910,Monument,105
42,Cow Up A Tree,-37.81712232,144.9452798,"135 Harbour Esplanade, DOCKLANDS",John Kelly,2000,Art,7
43,Dairy Hall Window,-37.80720678,144.9592717,"62 Therry Street, MELBOURNE",Artist Bernice McPherson; architect Craig Perry,1996,Art,1
44,Diana and the Hounds,-37.81430676,144.9784994,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Sculptor William Leslie Bowles; founder A.B. Brunton,1940,Art,2
45,Dinny O'Hearn Fountain,-37.79759911,144.9673065,"331 Lygon Street, CARLTON",NA,1981,Fountain,103
46,Dolphin Fountain,-37.81188843,144.9800158,"4 Lansdowne Street, EAST MELBOURNE",June Arnold,1982,Fountain,2
47,Domed Drinking Fountain,-37.82124042,144.9707695,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",NA,1936,Art,4
48,Duke and Duchess of York Memorial,-37.80662926,144.9599089,"512 Elizabeth Street, MELBOURNE",J. Churchman & Sons,1901,Monument,1
49,Eagle,-37.82072474,144.9523913,"22 Wurundjeri Way, DOCKLANDS",Bruce Armstrong,2003,Art,7
50,Edmund Fitzgibbon Memorial,-37.82361221,144.9704186,"208 St Kilda Road, SOUTHBANK",James White,1908,Monument,6
51,Edward George Honey Memorial,-37.82975544,144.9744197,"Old Observatory Site, Birdwood Avenue, MELBOURNE",NA,1965,Monument,4
52,Eel Trap,-37.81912218,144.9740758,"Birrarung Marr, MELBOURNE",Fiona Clarke and Ken McKean,2003,Art,1
53,Eight Hour Day Memorial,-37.80715502,144.9655884,"399 Russell Street, MELBOURNE",Percival Ball (?),1900-1903,Monument,1
54,Exhibition Fountain,-37.80545673,144.9713683,"9 Nicholson Street, CARLTON",Josef Hochgurtel,1880,Fountain,103
55,Fairies Tree,-37.81340998,144.9811023,"88 Clarendon Street, EAST MELBOURNE",Ola Cohn,1934,Art,2
