1,Transport,Railway Station,Flemington Bridge Railway Station,-37.78816459,144.9392778,101
2,Place Of Assembly,Library,The Melbourne Athenaeum Library,-37.81488558,144.9672913,1
3,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Carlton Gardens South,-37.80606846,144.9712665,103
4,Place of Worship,Church,St Francis Church,-37.81188478,144.9624226,1
5,Place of Worship,Church,Wesley Church,-37.81015764,144.9681682,1
6,Place of Worship,Church,St Augustines Church,-37.81697414,144.954862,1
7,Place of Worship,Church,St James Church,-37.81012812,144.9524686,3
8,Place of Worship,Church,St Mary's Anglican Church,-37.80316637,144.9537615,101
9,Place of Worship,Church,Romanian Orthodox,-37.80523073,144.9669864,103
10,Place of Worship,Church,Welsh Presbyterian Church,-37.81044788,144.9598733,1
11,Place of Worship,Church,Church of Christ,-37.81045241,144.9638892,1
12,Place of Worship,Church,Scots Church,-37.81456878,144.9685511,1
13,Place of Worship,Church,St Michael's Uniting Church,-37.81438513,144.969174,1
14,Place of Worship,Church,Greek Orthodox Church,-37.80880647,144.9782591,2
15,Place of Worship,Church,St Peter's Eastern Hill,-37.80970867,144.9752592,2
16,Place of Worship,Church,Lutheran Trinity Church,-37.81097571,144.9757295,2
17,Place of Worship,Church,Holy Trinity,-37.81406671,144.9831973,2
18,Place of Worship,Church,St Johns Lutheran Church,-37.82093997,144.9671211,6
19,Place of Worship,Church,North Melbourne Uniting,-37.80355385,144.9476715,101
20,Place of Worship,Church,Melbourne Unitarian Church,-37.81144878,144.9846649,2
21,Place of Worship,Church,All Nations Uniting Church,-37.79591553,144.9689811,103
22,Place of Worship,Church,Our Lady of Lebanon Church,-37.80257665,144.9693347,103
23,Place of Worship,Church,St Michaels,-37.79405127,144.9453995,101
24,Place of Worship,Church,Ukranian Catholic Cathedral,-37.79630846,144.9443135,101
25,Place of Worship,Church,St Alban Anglican Church,-37.79421695,144.9416145,101
26,Place of Worship,Church,Christ Church Kensington,-37.79321095,144.9272957,59
27,Place of Worship,Church,Holy Rosary,-37.79480874,144.9283621,59
28,Place of Worship,Church,Collins Street Baptist Church,-37.81470119,144.9680725,1
29,Place of Worship,Church,St Thomas Aquinas Church,-37.83530769,144.9768091,234
30,Place of Worship,Church,South Yarra Presbyterian Church,-37.84074736,144.985627,234
31,Place of Worship,Church,The Parish of Christ Church South Yarra,-37.83862705,144.9860094,234
32,Place of Worship,Synagogue,East Melbourne Synagogue,-37.80911373,144.9742219,2
33,Community Use,Visitor Centre,Melbourne Visitor Booth,-37.81395251,144.9644259,1
34,Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,-37.785786,144.947581,102
35,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,University Square,-37.80041071,144.9603983,103
36,Transport,Transport Terminal,Port of Melbourne,-37.81373844,144.9175343,3
37,Leisure/Recreation,Private Sports Club/Facility,Royal Park Golf Course,-37.78191713,144.9563091,102
38,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Powlett Reserve,-37.81169299,144.9872757,2
39,Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,-37.78408644,144.9619678,104
40,Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,-37.78343039,144.9619826,104
41,Retail,Retail,Queen Victoria Market,-37.8075002,144.9571585,1
42,Education Centre,Primary Schools,Carlton Gardens Primary School,-37.80209538,144.9694063,103
43,Education Centre,Primary Schools,Carlton Primary School,-37.79590798,144.9701473,103
44,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Carlton Gardens North,-37.80176908,144.9719976,103
45,Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,-37.80776441,144.9654639,1
46,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Kings Domain,-37.82552398,144.9741079,4
47,Education Centre,Secondary Schools,Melbourne Grammar School,-37.8342561,144.976285,4
48,Education Centre,School - Primary and Secondary Education,Wesley College,-37.84852018,144.9822278,4
49,Place Of Assembly,Theatre Live,FairFax Studio,-37.82166846,144.9688362,6
50,Place Of Assembly,Theatre Live,Playhouse,-37.82181246,144.9683378,6
51,Place Of Assembly,Theatre Live,State Theatre,-37.82128063,144.9684696,6
52,Education Centre,Tertiary University,University of Melbourne VCA and Music,-37.82411377,144.9693325,6
53,Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,-37.83524295,144.9811422,234
54,Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,-37.79080826,144.912143,59
55,Transport,Railway Station,Southern Cross Railway Station,-37.81816331,144.9529447,7
