rs_id	rs_stopid	rs_lat	rs_long	rs_desc	sub_id
1	17204	-37.416861	145.0053723	Wallan Railway Station 	2255
2	19980	-37.70329335	144.5725241	Melton Railway Station 	796
3	19981	-37.72926127	144.6506315	Rockbank Railway Station 	782
4	19982	-37.77776375	144.7723036	Deer Park Railway Station 	37
5	19998	-37.57920639	144.7281645	Sunbury Railway Station 	1177
6	20020	-37.78306529	144.8021881	Ardeer Railway Station 	27
7	20029	-37.6019248	144.943306	Craigieburn Railway Station 	117
8	20043	-37.81833429	144.9525249	Southern Cross Railway Station 	7
10	20288	-37.28220485	142.9369137	Ararat Railway Station 	1008
11	20289	-36.89364778	145.229515	Avenel Railway Station 	1940
12	20290	-37.68757821	144.4367852	Bacchus Marsh Railway Station 	807
13	20291	-37.82872043	147.6276138	Bairnsdale Railway Station 	2552
14	20292	-37.60429951	144.225448	Ballan Railway Station 	817
15	20293	-37.55879148	143.8594574	Ballarat Railway Station 	829
16	20294	-37.42787497	143.3822337	Beaufort Railway Station 	990
17	20295	-36.54455031	145.9839151	Benalla Railway Station 	1974
18	20296	-36.76566973	144.2830089	Bendigo Railway Station 	1614
19	20297	-38.32880781	143.7836252	Birregurra Railway Station 	463
20	20298	-37.20720049	145.0430079	Broadford Railway Station 	1920
21	20299	-38.09910771	145.7207575	Bunyip Railway Station 	2353
22	20300	-38.22890091	143.1509278	Camperdown Railway Station 	506
23	20301	-37.06283745	144.213799	Castlemaine Railway Station 	1233
24	20302	-36.15563663	146.6113748	Chiltern Railway Station 	2037
25	20303	-37.48349769	144.7453726	Clarkefield Railway Station 	1179
26	20304	-38.34337792	143.5866531	Colac Railway Station 	493
27	20305	-38.07283126	144.3797684	Corio Railway Station 	352
28	20306	-36.36923291	144.2311203	Dingee Railway Station 	1719
29	20307	-37.54258952	144.9698601	Donnybrook Railway Station 	118
30	20308	-38.1364519	145.8559469	Drouin Railway Station 	2362
31	20309	-36.71852539	144.2483799	Eaglehawk Railway Station 	1659
32	20310	-36.13098223	144.7534587	Echuca Railway Station 	1692
33	20311	-36.49502002	144.6077575	Elmore Railway Station 	1673
34	20312	-36.74914593	145.5678643	Euroa Railway Station 	1946
35	20313	-38.09103062	145.6742247	Garfield Railway Station 	2350
36	20314	-38.14424211	144.3549891	Geelong Railway Station 	383
37	20315	-37.4588255	144.5987216	Gisborne Railway Station 	1194
38	20316	-37.3677344	145.0263105	Heathcote Junction Railway Station 	2262
39	20317	-36.79483364	144.2489902	Kangaroo Flat Railway Station 	1656
40	20318	-35.73312162	143.9244251	Kerang Railway Station 	1749
41	20319	-37.29321027	144.983566	Kilmore East Railway Station 	2273
42	20320	-37.25827885	144.4506016	Kyneton Railway Station 	1212
43	20321	-38.02242764	144.4144043	Lara Railway Station 	347
44	20323	-37.96292909	144.4984849	Little River Railway Station 	345
45	20324	-38.11099211	145.7668603	Longwarry Railway Station 	2358
46	20325	-37.42357331	144.5613969	Macedon Railway Station 	1195
47	20326	-37.18974032	144.3753232	Malmsbury Railway Station 	1228
48	20327	-38.198549	144.3550567	Marshall Railway Station 	364
49	20328	-38.17671464	146.2626972	Moe Railway Station 	2411
50	20329	-36.39912828	145.3582148	Mooroopna Railway Station 	1857
51	20330	-38.23671876	146.396753	Morwell Railway Station 	2443
52	20331	-36.61314794	145.2406356	Murchison East Railway Station 	1821
53	20332	-36.7854641	145.1603567	Nagambie Railway Station 	1815
54	20333	-38.08159155	145.5716657	Nar Nar Goon Railway Station 	2345
55	20334	-38.12283523	144.3522719	North Geelong Railway Station 	359
56	20335	-38.09837714	144.3653214	North Shore Railway Station 	353
57	20336	-36.05311274	144.1131327	Pyramid Railway Station 	1734
58	20337	-37.46512379	144.6798307	Riddells Creek Railway Station 	1180
59	20338	-36.3623605	144.6986813	Rochester Railway Station 	1687
60	20339	-38.15640367	146.7869664	Rosedale Railway Station 	2461
61	20341	-38.10310272	147.0548051	Sale Railway Station 	2464
62	20342	-37.02472873	145.1377286	Seymour Railway Station 	1935
63	20343	-36.38379101	145.4064975	Shepparton Railway Station 	1861
64	20344	-38.15865863	144.358987	South Geelong Railway Station 	385
65	20345	-36.1858934	146.470417	Springhurst Railway Station 	2036
66	20346	-37.96704739	147.0814694	Stratford Railway Station 	2528
67	20347	-35.34111357	143.5623432	Swan Hill Railway Station 	1784
68	20348	-37.09233454	145.1029973	Tallarook Railway Station 	1928
69	20349	-38.23621199	142.9114722	Terang Railway Station 	521
70	20350	-38.2072423	146.1547728	Trafalgar Railway Station 	2398
71	20351	-38.19888494	146.5378821	Traralgon Railway Station 	2455
72	20352	-38.08499626	145.6282343	Tynong Railway Station 	2347
73	20353	-36.63881606	145.7159234	Violet Town Railway Station 	1970
74	20355	-37.3546771	145.0264154	Wandong Railway Station 	2263
75	20356	-36.35510089	146.3170385	Wangaratta Railway Station 	2000
76	20357	-38.16522418	145.9330853	Warragul Railway Station 	2371
77	20358	-38.38501396	142.475545	Warrnambool Railway Station 	592
78	20359	-38.24013506	143.9841339	Winchelsea Railway Station 	460
79	20360	-36.1058271	146.8712657	Wodonga Railway Station 	2050
80	20361	-37.35879859	144.5258901	Woodend Railway Station 	1204
81	20362	-38.20315754	146.0630628	Yarragon Railway Station 	2393
82	20616	-36.33222225	141.6538899	Nhill Railway Station 	1166
83	20617	-36.45418003	142.0324644	Dimboola Railway Station 	1155
84	20618	-36.70750142	142.2005555	Horsham Railway Station 	1099
85	22238	-37.81830513	144.9669643	Flinders Street Railway Station 	1
86	22239	-37.80630984	144.9415102	North Melbourne Railway Station 	3
87	22240	-37.80141343	144.9020201	Footscray Railway Station 	8
88	22241	-37.78853633	144.8328782	Sunshine Railway Station 	25
89	22244	-37.70112872	144.7741805	Watergardens Railway Station 	69
90	22247	-37.82407446	144.9901643	Richmond Railway Station 	190
91	22248	-37.87745946	145.0425248	Caulfield Railway Station 	239
92	22249	-37.92468255	145.1205344	Clayton Railway Station 	278
93	22250	-37.98996792	145.2097254	Dandenong Railway Station 	290
94	22251	-38.04040813	145.3457147	Berwick Railway Station 	2332
95	22252	-38.08061383	145.4863677	Pakenham Railway Station 	2340
96	22253	-37.7560117	144.9161975	Essendon Railway Station 	76
97	22254	-37.68304926	144.9196132	Broadmeadows Railway Station 	94
98	22257	-38.38639376	142.5405645	Sherwood Park Railway Station 	592
99	43469	-37.53971611	143.8200675	Wendouree Railway Station 	931
100	44951	-37.42460539	143.8881236	Creswick Railway Station 	946
101	44952	-37.30314079	143.7815766	Clunes Railway Station 	976
102	44953	-37.05090849	143.7424023	Maryborough Railway Station 	1323
103	45918	-37.05924027	142.7735382	Stawell Railway Station 	1037
104	47482	-37.17289923	143.7056403	Talbot Railway Station 	989
105	47641	-38.21581447	144.3068194	Waurn Ponds Railway Station 	370
106	47642	-36.70634158	144.3210395	Epsom Railway Station 	1621
107	47647	-37.87178183	144.6084721	Wyndham Vale Railway Station 	41
108	47648	-37.83216813	144.6947144	Tarneit Railway Station 	52
109	52011	-37.76715264	144.7380216	Caroline Springs Railway Station 	38
110	15351	-37.57909097	144.7273188	Diggers Rest Railway Station 	1177
111	15353	-37.62701651	144.7199224	Stony Point Railway Station 	1175
112	19827	-38.37423454	145.2218375	Crib Point Railway Station 	2687
113	19828	-38.36612338	145.2040433	Morradoo Railway Station 	2687
